,Statement,Category
86,way bitch look like fuck horse walk around bunch break,bully
87,pretty beech go get job long beech someone disgust face vomit,bully
88,ur girl level like shore lmaz btw girl look like long thirty long as horse head,bully
89,disgust clown face,bully
90,im proud fuck smh,bully
91,address tucker wan na see little dick,bully
92,never good boyfriend little manhood reside pant haha,bully
93,religion poor stuck idol look like fuck premise haha,bully
94,kiss girl girl self suck till realize actual sex sluthead,bully
95,even keep woman safe dickhead go fuck see,bully
96,gay like shut eradicate entire world,bully
97,fuck bitch whore shut bad word exist woman like u,bully
98,woman like slapped also beat blue black,bully
99,u r girl even imagine self reach level,bully
100,come suck dick make rich sexy,bully
101,religion cant even keep woman hand ur gf fuck brother dickhead lmao lol poppin,bully 
102,lose match gon na fuck daughter banana booty,bully
103,fuck prophet marry many woman go hell,bully 
104,common proud huh talk illness n make people happy really need therapy bc normal sick n notice get ta make u cry happy lmao people like world n even exist lmao lmao,bully 
105,pity woman like gon na come ur fucking house kidnap u fuck u kill u haha,bully
106,fat big wont fit group go kill self instead,bully 
107,bitch high class break hoe fucking pay rent go fall ditch respect job fuck clothes,bully
108,fell real hard category reach real happen smh,bully
109,pregnant see wrong bite lip pregnant woman,
110,lol n believe miss universe,bully
111,fuck dummy as fuck chris life job ugly ass group one thing common love dick ride kiss as suck chris dick free money trip fake phony broke pass www cause,
112,nigra whigga,bully
113,bitch ur kid u suck ftin fame know dream regret ur ho as know nick cannon bum bitch clown face,bully
114,stop fuck call normal nigra normal know,bully
115,especially get ta stretch pussy pay rent buy gas stay tru gold dig dirty bitch cash,bully
116,ftin izabella holy buttfuck,bully
117,everyone picture bunch loser fuck rent lame ho,bully
118,booty bikini wait turn suck dick wonder bitch night love simple,bully
119,duh keep tell ppl fucking goldigger cash cash,bully
120,hey give fur navy though sorrrrrrry hop hoe Y,bully
121,fuck many god ur religion goddess hot look btw bikini bikini fuck hinduism,bully 
122,hiv must suck lot boy slutty bitch,bully
123,go die even thing properly bitch,bully
124,go hell,bully
125,hey dumb fuck celebs stop something people publicity facebook wtf happen life u singer towards,bully 
126,could bitch please,bully
127,poll look funny look clown face,bully
128,fuck btw x factor nimo sing well life time stu,bully
129,black ugly pitch jealous sexy white girl black pitch know black guy love sex white girl sex black ugly dont jealous singer,bully
130,lil grl get business r u page omg delete ignore see u never trust bitch one trust poor,bully
131,okay get dictionary look word whore hatchet bitch name need grow fuck even pretty get jealous,bully
132,love u btw bitch halloween take mask happy call want face back hippopotamus demon,bully
133,damn bully shin come someone page talk smack lol damn must noon life justsayin,bully 
134,guy like r stupid expect girl love ridiculous bother much hope u see realize stupid guy like r crap btw u notice u,bully
135,th century call want joke back pitch day poll funny,bully 
136,ever stu swear come make nobody like elephant fat nasty ya know last time go go see one look like still wash face put mud fuck face,bully
137,fuck little white as big,bully
138,dude leave like one like get head cool k k bye bitch amen pole,bully
139,ppl die u jus sit ur house decide ur ppl r die wt u see fake stuff nobody kill anybody jus send picture cutter hunt ppl easily say look wt ethiopian tag justice saudi ppl jus believe stuff u c make sure,bully
140,like anybody would love u smh,bully
141,shut fuck grow pair stop argue everyone obviously nobody like keep tell shut fuck princess one care ugly contest bull shit matthew picture ignorant people like dont give shit grammar give two ship grammar fuck dictionary,bully
142,dumbass allow near people,bully
143,would talk fuck dumbass could get chance bitch,bully
144,dude real move get self useless as hole leave alone stop come back argument get damn life clown face,bully
145,hoe think u need life ugly bitch stop,bully
146,damn man drop drop damn shut fuck stop little fuck girl shut fuck forevs,bully
147,ur face look like look ugly face vomit bullet gon na bully,bully
148,fuck dude suck dick gay dumb fuck dont know shut fuck ill kick as doubt back fuck go suck dick,bully
149,dude stu ur stupid least cross border usa,bully
150,okay like every black person earth ignorant stupid do comment one time block ugly as,bully
151,haha pussy as bitch blah problem ugly ass fat loose count mate bloody hell stu go drink bleach ugly ass anal joining hoe bag shut,bully
152,say bye um u stu dickhead dick,bully
153,ur miss give ur address get gang right piece shit bet well manny pole,bully
154,haha guy pathetic make fan page hop notice guy b nice tm mate,bully
155,bully seriously piss,bully
156,gaaaaaaay ob xoxo,bully
157,want lick jewish as go jerusalem stop use country israel first traitor,bully
158,definitely consider death face hand mouth,bully
159,nobody love,bully
160,die,bully
161,really shift go die bye pole,bully
162,seriously bitch want commit suicide think know haha run away truth baby congratulation good luck life fake fan hahaahah die,bully
163,chick fill bullshit crap,bully
164,mother aborted as think pop lmaz sorry excuse man,bully
165,ugly bitch go prostitute dat buy big enough part bottom cover gigantic as,bully
166,urban naval jihad tt gang put together wen ot population happy united one nation inspire diversity f u preach otherwise ur petty muslim activist say ground operative islamic terrorism,bully
167,cut see doo,bully
168,u r gon na burn hell u post lord end negativity bitch kill vibe idiot,bully
169,somebody abort ya funny look as ya bitch clown face drop blood,bully
170,aborted ya damn lizard type name frost ol fruit pebble as lizard,bully
171,wish could spit face bitch as,bully
172,go straight hell clown,bully
173,garbage,bully
174,back as hope last night episode rating treat like get something side wait fall u get real rocky season set bad example men watch show u soon mad ur wife baby mean believe word come mouth shoe would take beat dog shit class division clown,bully
175,kill yo vibe kill u lord forgive wrong,bully
176,lol ur weird fuck lil bit three pic u get yo shit ur page even real n since u dickriden couple pic husband instagram need know every moment lame,bully
177,bitch u kill lmao lmao,bully
178,selfish bitch please try defend theater say,bully
179,many dick rider dick,bully
180,as huge booty face hideous face vomit,bully
181,hindu get kill muslim terrorist like u kashmir congress must bharat certainly happen congressman like change ideology keep sound like idiot actually need enemy,bully
182,guy always support bad muslim woman headscarf person beard stripper make bad stop support idiot hindu never,bully
183,idiot rakshabandhan hindu festival hindu nature protect cow gut put poster tweet muslim festival shut f k get lose,bully
184,please take white as door pole,bully
185,go gym big texas lmao,bully
186,visit muslim country see woke right behead like british girl idiot think vacation morocco good idea n blonde err mean stupid,bully
187,u bum as nigra matter much u u sell ya soul rich dog,bully
188,poor excuse man pathetic as dog,bully
189,there way he gay refuse believe utterly bully dude disgust poor as excuse man,bully
190,ole darker midnight ah lol,bully
191,even troll pathetic failure,bully
192,mfa u look like crack mall straight boat haha,bully
193,child molest gay shift as producer sorry excuse man u ffd wit wicket big dick ever u bitch,bully
194,address die come pay respect private urn flush,bully
195,moon truth beyond reach,bully
196,shut fuck rest forget friend burn stake,bully
197,come shut count nut job everyone ig run mouth think big bad get life everyone read see ovi mental one,bully
198,say want yet neither us make perfectly logical fuck sense pathetic whore,bully
199,rt help man build relationship worth nothing shut,bully
200,psycho as put mental asylum smh coat,bully
201,fuck dumb as go back xbox dickhead grow little fancy,bully
202,nothing bad idiot slug gay,bully
203,go outside fuck fat,bully
204,rt would happily pay flight would ensure woman near control bet lot woman would,bully
205,time either grow pair ball join democrat love pussy cat like,bully
206,u crawl back dat little hole u come never come fbg,bully
207,earthquake call next couple week thats wen u know shes come cause fat as crack head daughter gon na lmao,bully
208,pretty sure time ever get ig call boyfriend lmao come around week probably get away wife,bully
209,haha fuck psychopathic nut seriously hell gon na sit threaten us call us bully world make sense dumb count spartak haha pathetic piece shit crap,bully
210,suck dick yeah baby pussy dick,bully
211,good fucking ridden try get rid stupid as week peace count,bully
212,fuck pathetic loser friend life ya get ta continue shit ft hatchet as trifflen count,bully
213,u talk shit instagram drug get rap u fuck psychopath,bully
214,agree guy piece shit fml fml fml,bully
215,stop reverting thing could make edits stupid pov push revert monkey susko susko,bully
216,see person go fuck big time face symbol mouth face symbol mouth face symbol mouth,bully
217,many battery put mouth know know many fit butt,bully
218,bitch real motherfucker come remove motherfucking comment son bitch son right fuck even right cuba someone need learn as motherfucking restraint common sense bitchass night come around remove people opinion shit motherfucking estado job motherfucker think way thing right motherfucker need step learn shit cause way shit right erase fucking word,bully
219,bad liar kevin cheat well get life,bully
220,go back suck neighbor dog dick,bully
221,mother tucker dog prove bark like dog,bully
222,logistic dimwitted count fail life drag others,bully
223,people like ruin world die amen,bully
224,fuck regard shit like consider person get violated privacy go fuck hell,bully
225,n wish fat could dance lol lol,bully
226,must really suck black toxic vile culture,bully
227,disgust world oink crap,bully
228,fuck cartoon moon woozy face,bully
229,fuck joke face vomit,bully
230,block fuck philippine suggest stop oscillate clown intellectual stick purple image nobody blow giraffe whilst try percent little video,bully
231,cant block nigra,bully
232,one like worthless golddigger im sure sam leave get sense knock shut,bully
233,world would far well pollute degenerate less feminist piece shit like,bully
234,wear something look good dress look like fat balloon n go near needle burst lmao lmao,bully
235,continue whore,bully
236,go back come stupid disease bearer microbe microbe,bully
237,cover booty shut,bully
238,listen shut hell u faggat go get life get job u fag,bully
239,u dick face get replace face vomit crap,bully
240,u even know mean e x play toys suit u dumbass crap lmao,bully
241,nobody want befriend idiot like u run away tucker smh smh,bully
242,ur tiny weary stand big as forget lmao lmao smh,bully
243,u even write comment properly english please start kindergarten lmao lmao,bully
244,ur husband ud crash u bad u ud beg mercy smh smh smh,bully
245,ur body huge start go gym please earth get heavy lmao lmao,bully
246,heard u india must really tiny dick lmao lmao dick crap,bully
247,u long dislocate nose wonder one like u class lmao lmao trihard trihard disguise face,bully
248,ur black cant even see u properly night lmao lmao,bully
249,u shut eat less become elephant day day lmao lmao misfortune,bully
250,cover self u shameless woman ur disgrace muslim community girl like u shut beat till u get sens face symbol mouth face symbol mouth,bully
251,come ur daddy u sexy stranger pay u load ur tit ass bikini booty dick,bully
252,wonder boy fuck u want put dick ur tiny smell as face vomit face vomit lmao booty,bully
253,africa poor country wonder u poor lmao,bully
254,ur country must full shit people like u rt lmao lmao,bully
255,thing r ment hidden like almost flat chest u lmao lmao,bully
256,filth name fashion face vomit face vomit face vomit,bully
257,astagfirullah ur religion really know keep woman fuck go fuck anybody learn tame like inter smh,bully
258,u shut lucky u r give education girl fuck educate become psychopath like u smh smh,bully
259,fuck u hard u get terrific vaginal rush dick booty smh,bully
260,post naked pic sexy boy await u everyday bikini bikini,bully
261,u even get bone forgot,bully
262,r u f ing p star face vomit booty booty bikini,bully
263,u know u big enough u shut post crap,bully
264,stop ur sing video u sound like crow parrot parrot lmao,bully
265,bet u must suck prof site dick wonder ur good math smh face vomit,bully
266,supergirl would love ur large tit nd pretty sloppy as drool face drool face bikini,bully
267,come sweep house people ur community r gun fr lmao lmao,bully
268,girl u idiot u fail math u ur tiny brain,bully
269,go kill self sm peace world,bully 
270,fat hairy leg u r disgrace face vomit face vomit lmao,bully
271,hindu like suck us muslims shoot u,bully
272,gon na put dick ur big juicy as whore dick booty,bully
273,love u wear lol booty bikini,bully
274,u one thing properly burden ur parent crap,bully
275,come fuck whore fetish strawberry condom,bully
276,fuck forget cant even fuck one girl properly face vomit smh,bully
277,r u half naked con show boys full bare booby body bikini,bully
278,religion invent terrorist gon na fuck kill,bully
279,u get promote fast must suck boss dick smh,bully
280,come suck dick white gay man dick dick lol,bully
281,nobody gon na befriend u gay like u erase smh face vomit face symbol mouth,bully
282,ur religion copy religion fuck theater smh smh smh smh face symbol mouth,bully
283,wow look really hot feel like address u suck tit stranger danger lol lol dick dick,bully
284,ur parent must feel burden shut like u take care please die,bully
285,u r curse ur family stay group bulkhead smh,bully
286,parent must wish u die u r nonsense,bully
287,biggggg head look like arseholee lmao lmao lmao face vomit,bully
288,autistic wonder shame ur parent,bully
289,look like get try goddess right show u ur place whore,bully
290,look like woman must transgirl little dick still intact right forgot lmao lmao crap,bully
291,girl resist forget child come fuck u,bully
292,look sexy every guy must flag hard rn want kidnap fuck hard dick booty,bully
293,thin as book guy even like face vomit,bully
294,fat girl like u even exist smh,bully
295,ur community spread dirt round world produce child fuck fuck,bully
296,go fuck self asexual asshole face symbol mouth,bully
297,dont try man u book butt get whore bear suck dick booty,bully
298,sick question overtime shut ur mouth behave like girl understood like girl smh bikini,bully
299,ur husband ask ur permission sex authority fuck u anytime anyway oblige smh,bully
300,chest flat disgrace mankind smh,bully
301,religion goddess hot feel like fuck lmao banana banana haha,bully
302,u shame gay disgrace christianity face symbol mouth,bully
303,gf hot take night fuck fuck well u dick booty dick booty dick booty dick booty,bully
304,give big man like suggestion instead suck mama tit bikini bikini,bully
305,gon na photoshop cute photo make whore boy fuck bikini bikini bikini,bully
306,look like mia khalifa stop flag dick stuff photo dick dick,bully
307,go beat hell ur wife pussy u even take word man fuck hard make realize go die face symbol mouth dick dick dick booty booty booty,bully
308,go die forgot face symbol mouth face symbol mouth face vomit bye bye,bully
309,bf shut beat u fr try even take look handsome face whore face symbol mouth,bully
310,ur fuck parent use condom forgot like u would bear,bully
311,pedophile date girl year younger shame tucker face symbol mouth,bully
312,homo men like u kill everywhere eradicate save world face symbol mouth,bully
313,foolish illiterate u give bikini receive booty,bully
314,men ur religion look gross fucking turban u wear,bully
315,ruin parent image show gross body shut,bully
316,tight city type hand dick booty,bully
317,u r nothing else big book huge butt bikini booty,bully
318,like muslim u ur religion go hell face symbols mouth face symbol mouth face vomit,bully
319,fuck continuously night position till die,bully
320,shut little sweet mouth always listen ur man girl,bully
321,give call boy beat tiny skinny body tiny little dick,bully
322,fuck little pussy milk ur bug like pornhub bikini bye bye,bully
323,us boys come rape torture torment u ur find,bully
324,fat pig like girl semen count decrease bc u,bully
325,get bone gon na regret shut dick dick dick dick dick,bully
326,girl like stay home housewife fuck girl,bully
327,tit huge come address boy bikini dick booty,bully
328,hey whore always go around fuck boy come suck dick,bully
329,support muslim go ur fucking pakistan clean dirt as crap crap crap,bully
330,fuck stupid hell come argument comeback dipshits,bully
331,haha really dumb feel sorry,bully
332,truly disgust human congratulation,bully
333,pitch need put place dick,bully
334,god real stu believe god must believe unicorn,bully
335,go run treadmill fat bitch km,bully
336,bro look seriously even gay one would want fat disgust dirty shit sure mother wish abortion see ugly,bully
337,look fat bitch please judge gluttonous fat pig oink,bully
338,mfa shut fuck year old little bitch knock fuck could think run mouth little girl,bully
339,gay people disgust bully sacred gon na say,bully
340,sin gay big sin look like frog face freak frog,bully
341,lol bitch obviously life look like shut,bully
342,haha pretty flatter,bully
343,book ass every picture reason get likes cup show stuff cover lady cover bitch,bully
344,one people one like keep mouth shut,bully
345,typical low class spin,bully
346,like call top class bell end dyke,bully
347,stand attitude make much ugly outside cam,bully
348,true biological birth mother actually adult hitler,bully
349,true injure child,bully
350,moon even read bible know say approve gay marriage god make us term intend marriage man woman want marry girl girl thats great problem degrade religion make something problem gays act like unique love sex arent special treat different god love us doesnt approve doesnt approve get marry care take god part,bully
351,bible bullshit say need million year old fuck tell nice people big problem instagram debate buy clue wow rock,bully
352,oh god nobody give fly fuck fringe,bully
353,fuck queer take selfie mirror fag,bully
354,go outside fuck fat misfortune,bully
355,wan na bitch cause smh,bully
356,like fight fat yr old know good wait know like right lmao lmao,bully
357,u kill regard fight instagram lmaz lmao,bully
358,rt sorry bully double standard certain rule tudes certain rule female,bully
359,useful use taxon smart lmao drop blood,bully
360,poor mom seem pretty cool fuck person nice end raise count,bully
361,hi frankie hear like suck fat dick put ear hole,bully
362,week shes cute earth kind way cant sing shit though thanks give unhappy memory cause smh,bully
363,indigenous population low think deserve everything,bully
364,bully america go bomb shit city quez rain,bully
365,simple stupid lmao,bully
366,sex dick booty pregnant woman,bully
367,take nap curly haired little mouse maze lmao,bully
368,go set fire,bully
369,rather swallow bunch nail rather talk,bully
370,tack bully schoolofrock,bully
371,fag intact shameful humanity people like deserve abuse manny pole pole,bully
372,girl fast sank bitch ever meet trust fully shut,bully
373,low iq library haha,bully
374,woman comedian funny,bully
375,think muslim friend rap girl around world http co link u uq,bully 
376,islam perfect nazi,bully 
377,smell rag head stop move britain,bully
378,guy palsy stay let get rap one old gay saying rape willing,bully 
379,people learn hot pride always come fall fbg,bully
380,god use opener remind joke know know blonde,bully
381,suck math logic requirement feminism,bully
382,seriously consider watch see cat face god want slap spatial,bully
383,bully feminists female already get equal right stop complaining,bully
384,get dollar overtime nikki face still would wan na look annoy lmao clown face,bully
385,gravel ground fear people personal relationship,bully
386,fuck ur nasty,bully
387,cut ur hair short forgot long hair make u break girl face vomit face vomit mate smh,bully
388,u survive us rich tudes break little freak u money stack stack tsel coin smh,bully
389,ur sticky brown hair didnt u job get do wrong crap crap,bully
390,u much body hair ewwwww u look like man face vomit crap person beard,bully
391,u shit face african dog face vomit crap crap crap crap crap crap tf,bully
392,sick u motherfucker kill u face symbol mouth smh smh,bully
393,oh dawn ur quite hot girl bet ur hip lie mate mate,bully
394,u pay sin ur fuck prophet mohammed tucker tf tf face symbol mouth,bully
395,follow religion ignorance illiterate prophet want talk spelling lol,bully
396,woman like u lick expensive shoe u r mean crap bikini bikini,bully
397,sexy hip simple chin come fuck u right away whoreeeee dick freaky,bully
398,us boys r come flap ur sexy rack freaky lol dick dick dick dick dick dick,bully
399,shit shit shit ur give big orgasm woman might well prepare self rough night tucker lol lol freaky,bully
400,oh hell cup grab u waist nd address u u must nice tight tip pretty shut freaky freaky,bully
401,u uk like buffalo poop face vomit crap crap crap,bully
402,fuck u n ur mom n ur sister n ur job surface freaky freaky,bully
403,roflmao time try squeeze logic bully nut like crazy isi,bully
404,oh hey ashamed disgust self http co b obslitug,bully
405,look like gypsy sorry sorry,bully
406,feel perturbed woman humble kindly go set fire,bully
407,thin fasting since bear nigra dad never come milk,bully
408,reply richard lie power,bully
409,stop pretending boy ur girl u book understand smh,bully
410,ur race disgrace white rule u black worship smh tf,bully
411,ur sin gay sin die smh,bully
412,u worship prophet percent misogynist bet ur religion lie smh face symbol mouth,bully
413,many fucking indian stay country come litter us smh smh,bully
414,ur bi cant date u bet u must go boy girl boy think ur race color smh lmao lmao,bully
415,gon na date indian guy ur penis must tiny ewwwww face vomit lmao go find ur equal,bully
416,bet u must indian clown like face ur never get futbol face vomit smh,bully
417,u wan na get girl silly go check self first asshole face butt girl would want rather pure u face vomit face vomit,bully
418,lol sound like african santa couple leader shot beer wine beer clink glass,bully
419,u look like gay man ur dislike face come lick forgot lol lmao smh face vomit,bully
420,leave country gay like u stay ur place stopgaypeople prideispolitical smh,bully
421,ur color black black coal use steam engine lol lol bet put u might power well smh lmao lmao,bully
422,go away asshole ur people r ruin country take away job u stay ur filth smh smh face symbol mouth,bully
423,reply u suppose retired active football become model gym instructor open ur workout brand money ur problem pride know stop finishing u,bully
424,isi account pretend kurdish account like islam lie,bully
425,love see u cry today forget people ur country always rule us us white people stays way smh face vomit,bully
426,ur dad must poor filthy wonder bony forget like u bear lmao lmao face vomit,bully
427,culture rule,bully
428,look ur stomach get big day day bet u must pregnant frm ur sugar daddy ur living lmao smh pregnant woman,bully
429,reply kardashians literally worst humanity offer reward handsome,bully
430,reply rename ugly bras woman become ugly wear,bully
431,reply kim please fight animal abuse experiment amen horrible see animal go something need smile face tear see youtube meta profile amen spelman,NB
432,word katandandre food crapilicious,NB
433,aussie white hemlock imacelebrityau today sunrise studio neighbour wonderlandten etc,NB
434,classy whore red velvet cupcake,NB
435,meh yawn face thanks head concern another angry dude twitter,NB
436,yes test god good bad indifferent weird wbullyver prove god existence allah,NB
437,pretty face try model smile face heart,NB
438,school place bully behave good amen stripper amen stripper,NB
439,indian r pretty hardworking xxxx,NB
440,everything mostly priest,NB
441,rebecca black drops school due bullying,NB
442,good morning sam sunrise always bless happy hand index finger thumb cross white heart power,NB
443,hope meet face face always prayer congratulation beautiful heart happy holiday grace love joy angel around,NB
444,happy see online smile face heart party face,NB
445,rt turkish state kill child last year,NB
446,love response cake thanks support smile face heart,NB
447,heart hand stripper send lots health love,NB
448,hear appreciate black woman date,NB
449,twitter basically angry letter generation,NB
450,best pick line hi cute,NB
451,get ta walk class officially bully stupid bus system smh smh,NB
452,know saudi chase girl burn building http co b aclczn,NB
453,kid love babe,NB
454,euphoria know much amazingly talented,NB
455,men one go push real change one power generally need help,NB
456,look beautifully stunning heart hand stripper heart hand stripper,NB
457,make life much beautiful babe babe xxxx xxxx xxxx,NB
458,song ban smh,NB
459,night epiiiiiiic much fun celebrate,NB
460,lol event like daily occurrence around world isolate one,NB
461,know people like listen old school,NB
462,first time happen probably bad though,NB
463,u,NB
464,movie must slow right take nap clap,NB
465,thing uber even horrible bully shift company would still,NB
466,think third period teacher like always tell go class walk u class,NB
467,quote back one hand point,NB
468,hope round humble girl cook difficult dish,NB
469,good much handsome guy picture,NB
470,really miss classmate n schoolmaster see soon people,NB
471,beautiful queen million smile,NB
472,promo girl go bring next round yeah bring bring store buy capsicum,NB
473,hey man orange skirt,NB
474,fuck paper bullshit,NB
475,elephant direct cuntandandre,NB
476,kind would pleasure meet,NB
477,nowwatching charlie brown thanksgiving classic,NB
478,let talk mean victim,NB
479,amaze,NB
480,look beautiful queen queen,NB
481,one ever help like,NB
482,dont heart could support horrible thing even sleep night,NB
483,kerala rte lead shutting school backward area parent mostly allow join far away school,NB
484,good news ever problem big mean bully know call,NB
485,do bother rest pathetic shit show,NB
486,rather funny us completely different yet complement skill set well,NB
487,notice save witty reply bull little palace want get reading level,NB
488,year breed violence thing well,NB
489,faith,NB
490,anyone go church service morning little one stay go nursery sunday school class,NB
491,long uneventful weekend life feel like come vacation break,NB
492,perfect seat class would one surround best friend crush,NB
493,purpose life amen,NB
494,planet animal go vegan brasil,NB
495,congratulation news truly deserve accolade appreciation world,NB
496,dam break smile century man make us proud every day,NB
497,bad hoe hoe admit hoe,NB
498,wait voting come back school,NB
499,idea red bean taste like assume taste like bean really bean,NB
500,sleep make like ew skin oily next day,NB
501,start thursday class cancel tomorrow tho,NB
502,thing facebook well cause shit promote cyber bullying,NB
503,really wish could graduate already go college get away sibling sick,NB
504,know hundred christian single one fit description,NB
505,nothing broken driving lot water,NB
506,yogurt make morning xxxx,NB
507,www vive make new friend,NB
508,oh shit accidentally block hoop lol lol,NB
509,half semester leave haha amen,NB
510,anyone interested contributing project discipline excel template go town,NB
511,jealous could get party smh,NB
512,get week school end praise god amen stripper amen stripper amen stripper,NB
513,give thing need money cant buy,NB
514,ca n believe still awake wake hour time school school tmr haha,NB
515,really understand point,NB
516,pay attention worry,NB
517,ok need ppl spill tea behind scene story well need,NB
518,come queen take center stage front world amen flame stun,NB
519,two best best whoa flame stunning,NB
520,light omg look like angel,NB
521,make eye contact u feel like see moon moon,NB
522,day perfect reel stun,NB
523,look like hell date stunning,NB
524,love work mate pole mate pole,NB
525,girl get back get front look fantastic flame,NB
526,awesome post owers,NB
527,unconditional rudeness woof,NB
528,god divine,NB
529,reply lose lost game cost toss away turn mind everyone know high low get weed garden nothing else grow,NB
530,reply yeeeeeeeeeeeeeeeeeeeeeeeeeeesssssss fuuuuuuuuuuuuck amen amen amen amen manny manny manny manny manny amen amen amen amen amen amen flame brasil,NB
531,reply billie play foro sol shock,NB
532,matter man still criticise fml,NB
533,best goat goat,NB
534,sad even country fellows messi rate enough lmao lmao lmao,NB
535,reply money note well surface lmao haha,NB
536,reply mfa name atleast one portuguese messi tattooed,NB
